state,year,month,deaths
DC,2017,August,173.0
DC,2017,September,167.0
DC,2017,October,161.0
DC,2017,November,144.0
DC,2015,January,10.0
DC,2015,February,9.0
DC,2015,March,7.0
DC,2015,April,6.0
DC,2015,May,6.0
DC,2015,June,5.0
DC,2015,July,6.0
DC,2015,August,7.0
DC,2015,September,8.0
DC,2015,October,8.0
DC,2015,November,7.0
DC,2015,December,9.0
DC,2016,January,9.0
DC,2016,February,11.0
DC,2016,March,11.0
DC,2016,April,14.0
DC,2016,May,15.0
DC,2016,June,15.0
DC,2016,July,16.0
DC,2016,August,15.0
DC,2016,September,15.0
DC,2016,October,16.0
DC,2016,November,20.0
DC,2016,December,21.0
DC,2017,January,25.0
DC,2017,February,26.0
DC,2017,March,30.0
DC,2017,April,28.0
DC,2017,May,31.0
DC,2017,June,31.0
DC,2017,July,30.0
DC,2017,August,30.0
DC,2017,September,31.0
DC,2017,October,29.0
DC,2017,November,27.0
DC,2015,January,23.0
DC,2015,February,23.0
DC,2015,March,22.0
DC,2015,April,20.0
DC,2015,May,18.0
DC,2015,June,20.0
DC,2015,July,21.0
DC,2015,August,20.0
DC,2015,September,19.0
DC,2015,October,18.0
DC,2015,November,16.0
DC,2015,December,21.0
DC,2016,January,22.0
DC,2016,February,22.0
DC,2016,March,25.0
DC,2016,April,28.0
DC,2016,May,33.0
DC,2016,June,32.0
DC,2016,July,34.0
DC,2016,August,38.0
DC,2016,September,40.0
DC,2016,October,40.0
DC,2016,November,43.0
DC,2016,December,42.0
DC,2017,January,45.0
DC,2017,February,45.0
DC,2017,March,46.0
DC,2017,April,47.0
DC,2017,May,46.0
DC,2017,June,44.0
DC,2017,July,41.0
DC,2017,August,41.0
DC,2017,September,42.0
DC,2017,October,42.0
DC,2017,November,39.0
DC,2015,January,5589.0
DC,2015,February,5632.0
DC,2015,March,5704.0
DC,2015,April,5740.0
DC,2015,May,5706.0
DC,2015,June,5678.0
DC,2015,July,5668.0
DC,2015,August,5703.0
DC,2015,September,5683.0
DC,2015,October,5719.0
DC,2015,November,5754.0
DC,2015,December,5706.0
DC,2016,January,5616.0
DC,2016,February,5610.0
DC,2016,March,5620.0
DC,2016,April,5662.0
DC,2016,May,5719.0
DC,2016,June,5731.0
DC,2016,July,5770.0
DC,2016,August,5789.0
DC,2016,September,5869.0
DC,2016,October,5876.0
DC,2016,November,5933.0
DC,2016,December,6055.0
DC,2017,January,6128.0
DC,2017,February,6177.0
DC,2017,March,6227.0
DC,2017,April,6241.0
DC,2017,May,6287.0
DC,2017,June,6328.0
DC,2017,July,6314.0
DC,2017,August,6296.0
DC,2017,September,6302.0
DC,2017,October,6301.0
DC,2017,November,6257.0
DC,2015,January,113.0
DC,2015,February,113.0
DC,2015,March,115.0
DC,2015,April,113.0
DC,2015,May,118.0
DC,2015,June,119.0
DC,2015,July,114.0
DC,2015,August,115.0
DC,2015,September,122.0
DC,2015,October,126.0
DC,2015,November,135.0
DC,2015,December,144.0
DC,2016,January,146.0
DC,2016,February,146.0
DC,2016,March,161.0
DC,2016,April,174.0
DC,2016,May,198.0
DC,2016,June,208.0
DC,2016,July,219.0
DC,2016,August,239.0
DC,2016,September,247.0
DC,2016,October,259.0
DC,2016,November,289.0
DC,2016,December,300.0
DC,2017,January,326.0
DC,2017,February,343.0
DC,2017,March,358.0
DC,2017,April,375.0
DC,2017,May,380.0
DC,2017,June,384.0
DC,2017,July,383.0
DC,2017,August,377.0
DC,2017,September,380.0
DC,2017,October,371.0
DC,2017,November,345.0
DC,2015,January,81.0
DC,2015,February,80.0
DC,2015,March,80.0
DC,2015,April,80.0
DC,2015,May,83.0
DC,2015,June,83.0
DC,2015,July,80.0
DC,2015,August,82.0
DC,2015,September,92.0
DC,2015,October,95.0
DC,2015,November,102.0
DC,2015,December,112.0
DC,2016,January,115.0
DC,2016,February,113.0
DC,2016,March,124.0
DC,2016,April,135.0
DC,2016,May,155.0
DC,2016,June,163.0
DC,2016,July,170.0
DC,2016,August,181.0
DC,2016,September,187.0
DC,2016,October,195.0
DC,2016,November,221.0
DC,2016,December,230.0
DC,2017,January,253.0
DC,2017,February,272.0
DC,2017,March,287.0
DC,2017,April,301.0
DC,2017,May,305.0
DC,2017,June,306.0
DC,2017,July,306.0
DC,2017,August,304.0
DC,2017,September,299.0
DC,2017,October,291.0
DC,2017,November,268.0
DC,2015,January,99.1150442477876
DC,2015,February,100.0
DC,2015,March,100.0
DC,2015,April,100.0
DC,2015,May,100.0
DC,2015,June,100.0
DC,2015,July,100.0
DC,2015,August,100.0
